2025-06-02 13:12:41,615 - INFO - Server started on localhost:8888
2025-06-02 13:13:24,225 - ERROR - Server error: [WinError 10048] Only one usage of each socket address (protocol/network address/port) is normally permitted
2025-06-02 13:13:24,225 - INFO - Server shutdown complete
2025-06-02 20:47:42,475 - INFO - Connection closed for ('127.0.0.1', 57138)
2025-06-02 20:48:01,446 - INFO - New connection from ('127.0.0.1', 57161)
2025-06-02 20:48:01,446 - INFO - Client ('127.0.0.1', 57161) connected. Total clients: 2
2025-06-02 20:48:22,405 - INFO - Move added at (7, 2)
2025-06-02 20:48:28,651 - INFO - Move added at (6, 2)
2025-06-02 20:48:28,701 - INFO - Move added at (7, 12)
2025-06-02 20:48:41,265 - INFO - Move added at (8, 12)
2025-06-02 20:48:43,914 - INFO - Move added at (5, 3)
2025-06-02 20:48:51,691 - INFO - Move added at (6, 5)
2025-06-02 20:48:53,031 - INFO - Move added at (8, 2)
2025-06-02 20:48:53,081 - INFO - Move added at (9, 8)
2025-06-02 20:48:58,370 - INFO - Move added at (7, 10)
2025-06-02 20:49:04,111 - INFO - Move added at (5, 11)
2025-06-02 20:49:08,841 - INFO - Move added at (5, 9)
2025-06-02 20:49:14,422 - INFO - Move added at (8, 6)
2025-06-02 20:49:28,601 - INFO - Move added at (4, 11)
2025-06-02 20:49:32,936 - INFO - Move added at (8, 8)
2025-06-02 20:49:36,601 - INFO - Move added at (0, 14)
2025-06-02 20:49:38,899 - INFO - Move added at (7, 4)
2025-06-02 20:49:44,045 - INFO - Move added at (14, 14)
2025-06-02 20:49:52,121 - INFO - Move added at (14, 0)
2025-06-02 20:49:58,561 - INFO - Move added at (11, 0)
2025-06-02 20:50:01,310 - INFO - Move added at (5, 5)
2025-06-02 20:50:03,011 - INFO - Move added at (4, 3)
2025-06-02 20:50:05,892 - INFO - Move added at (11, 14)
2025-06-02 20:50:13,731 - INFO - Move added at (7, 0)
2025-06-02 20:50:16,920 - INFO - Move added at (14, 7)
2025-06-02 20:50:17,471 - INFO - Move added at (14, 0)
2025-06-02 20:50:25,631 - INFO - Move added at (12, 7)
2025-06-02 20:50:33,741 - INFO - Move added at (7, 7)
2025-06-02 20:50:41,044 - INFO - Move added at (7, 14)
2025-06-02 20:50:46,779 - INFO - Move added at (3, 3)
2025-06-02 20:50:55,687 - INFO - Move added at (3, 7)
2025-06-02 20:51:01,354 - INFO - Move added at (3, 11)
2025-06-02 20:51:02,741 - INFO - Move added at (11, 3)
2025-06-02 20:51:20,499 - INFO - Move added at (13, 12)
2025-06-02 20:51:26,526 - INFO - Move added at (4, 6)
2025-06-02 20:51:30,716 - INFO - Move added at (4, 8)
2025-06-02 20:51:35,507 - INFO - Move added at (9, 5)
2025-06-02 20:51:40,407 - INFO - Move added at (10, 9)
2025-06-02 20:52:23,797 - INFO - Move added at (6, 8)
2025-06-02 20:52:25,297 - INFO - Move added at (13, 2)
2025-06-02 20:52:26,707 - INFO - Move added at (12, 5)
2025-06-02 20:52:32,910 - INFO - Move added at (6, 6)
2025-06-02 20:52:43,627 - INFO - Move added at (7, 6)
2025-06-02 20:52:46,517 - INFO - Move added at (10, 5)
2025-06-02 20:52:47,876 - INFO - Move added at (7, 8)
2025-06-02 20:52:51,459 - INFO - Move added at (12, 9)
2025-06-02 20:53:13,746 - INFO - Move added at (8, 7)
2025-06-02 20:53:20,096 - INFO - Move added at (6, 7)
2025-06-02 20:53:46,956 - INFO - Client ('127.0.0.1', 57161) disconnected
2025-06-02 20:53:46,956 - INFO - Removed client ('127.0.0.1', 57161). Total clients: 1
2025-06-02 20:53:46,956 - INFO - Connection closed for ('127.0.0.1', 57161)
2025-06-02 20:53:48,827 - INFO - Client ('127.0.0.1', 57160) disconnected
2025-06-02 20:53:48,827 - INFO - Removed client ('127.0.0.1', 57160). Total clients: 0
2025-06-02 20:53:48,827 - INFO - Connection closed for ('127.0.0.1', 57160)
